"","octprecip"
"aprprecip",1
"augprecip",1
"decprecip",1
"febprecip",1
"janprecip",1
"julprecip",1
"junprecip",1
"marprecip",1
"sepprecip",1
"mayprecip",0.99
"aprhigh",0.98
"aprlow",0.98
"aughigh",0.98
"auglow",0.98
"dechigh",0.98
"declow",0.98
"febhigh",0.98
"feblow",0.98
"janlow",0.98
"julhigh",0.98
"jullow",0.98
"junhigh",0.98
"junlow",0.98
"marhigh",0.98
"mayhigh",0.98
"novhigh",0.98
"novlow",0.98
"octhigh",0.98
"octlow",0.98
"sephigh",0.98
"seplow",0.98
"janhigh",0.97
"maylow",0.97
"novprecip",0.97
"marlow",0.9
"metric",0.85
"units",0.52
"everyday",0.13
"climate",0.11
"city's",0.1
"dragon",0.1
"average",0.08
"drivers",0.08
"flights",0.08
"imperial",0.08
"tickets",0.08
"uses",0.08
"winters",0.08
"communist",0.07
"egyptian",0.07
"generally",0.07
"paved",0.07
